Follow;Volgen
Sell: 175 x Leather;Verkoop: 175 x leer
Buy: 10 x Air tiara;Koop: 10 x Air tiara
Buy: 2 x Ring mould;Koop: 2 x ringvorm
pic;foto
Set quantity;Hoeveelheid instellen
Set wiki price;Stel de wikiprijs in
Accept trade;Accepteer handel
Accept;Accepteren
Buy: 1 x Mithril gold-trimmed set (lg);Kopen: 1 x Mithril set met gouden randen (lg)
Buy: 15 x Diamond;Koop: 15 x Diamant
Sell: 55 x Emerald;Verkoop: 55 x Smaragd
Buy: 55 x Emerald;Koop: 55 x Smaragd
Buy: 1 x Poison;Koop: 1 x Gif
Buy: 34 x Ruby necklace;Koop: 34 x Robijn ketting
Search for item;Zoek naar artikel
Sell: 124 x Tuna;Verkoop: 124 x Tonijn
Buy: 1 x Rune axe;Koop: 1 x Runenbijl
Sell: 83 x Energy potion(4);Verkoop: 83 x Energiedrank(4)
Check-Count;Controletelling
Bash;Bas
Earth Bolt;Aarde Bout
Earth Wave;Aarde Golf
Water Blast;Waterstraal
Fire Blast;Vuur explosie
Fire Strike;Brand staking
Pound;Pond
Earth Blast;Aarde explosie
Choose spell;Kies spreuk
Fire Bolt;Vuurbout
Push;Duw
Quantity:;Hoeveelheid:
View Smithing on the Wiki;Bekijk Smithing op de Wiki
Pull;Trekken
Buy: 129 x Limpwurt root;Koop: 129 x Limpwurtwortel
View <col=ff9040>Mining</col> guide;Bekijk de <col=ff9040>Mijnbouw</col> gids
Buy: 600 x Hammer;Koop: 600 x Hamer
Pick refreshment;Kies verfrissing
Focus;Focus
Open <col=ff9040>Morytania Journal</col>;Open <col=ff9040>Morytania-dagboek</col>
Wiki <col=ff9040>Morytania Journal</col>;Wiki <col=ff9040>Morytania-dagboek</col>
Wiki <col=ff9040>Varrock Journal</col>;Wiki <col=ff9040>Varrock Journal</col>
Open <col=ff9040>Varrock Journal</col>;Open <col=ff9040>Varrock Journal</col>
Open <col=ff9040>Western Provinces Journal</col>;Open <col=ff9040>Western Provinces Journal</col>
Wiki <col=ff9040>Western Provinces Journal</col>;Wiki <col=ff9040>Westelijke Provincies Journal</col>
Peek;Kijkje
Disturb;Storen
Annuler;Annuleer
Marcher ici;Marcheerder ici
Examiner;Examinator
Add-mulch;Voeg mulch toe
Reset;Opnieuw instellen
Top-Floor;Bovenste verdieping
Hit;Hit
Karamja;Karamja
Draynor Village;Draynor-dorp
Al Kharid;Al Kharid
Monastery;Klooster
Ranging Guild;Variërend Gilde
Commune;Gemeente
Warriors' Guild;Het Strijdersgilde
Edgeville;Edgeville
Champions' Guild;Kampioenengilde
Craft;Ambacht
Lay;Leg
Port Sarim;Haven Sarim
Land's End;Land's End
Claim-rewards;Claim-beloningen
Take-cargo;Neem vracht
Take-any-cargo;Neem elke lading mee
Port Piscarilius;Haven Piscarilius
Cancel-task;Taak annuleren
Charter;Charter
Sort-salvage;Sorteer-berging
Take-last-cargo;Neem de laatste lading
Board-previous;Bord-vorige
Board-friend;Bestuursvriend
Dock;Dok
Make sets:;Setjes maken:
Smash;Verpletteren
Fur Clothing;Bontkleding
Brimhaven;Brimhaven
Aldarin;Aldarin
Taverley;Taverley
Default quantity: 200,000,000;Standaardhoeveelheid: 200.000.000
Prifddinas;Prifddina's
Lock-slot;Slot-gleuf
Pollnivneach;Pollnivneach
Take-all;Alles meenemen
Rellekka;Rellekka
Tele to POH;Telefonisch naar POH
Check-health;Controleer de gezondheid
Hosidius;Hosidius
WOM lookup;WOM opzoeken
Unload;Lossen
Contract;Contract
Withdraw-200000000;Intrekken-200000000
Rimmington;Rimmington
Deposit-200000000;Storting-200000000
Deposit-14;Storting-14
Purchase Amulet;Amulet kopen
Drink-from;Drink-van
Float Canoe;Vlotter kano
Travel to<col=ff9040> Lumbridge;Reis naar<col=ff9040> ​​Lumbridge
Make<col=ff9040> Stable dugout canoe;Merk<col=ff9040> ​​Stabiele boomstamkano
Walk-Down;Naar beneden lopen
Walk-Up;Opgang
Defence;Verdediging
Thieving;Stelen
Excavate;Opgraven
Take-knife;Neem-mes
Play-d;Speel-d
Take-tinderbox;Neem een ​​tondeldoosje
Play-f;Speel-f
Play-a;Speel-a
Play-c;Speel-c
Observe;Observeer
Play-b;Speel-b
Play-e;Speel-e
Play-g;Speel-g
Switch-emerald;Schakelaar-smaragd
Switch-diamond;Schakel-diamant
Switch-sapphire;Schakelaar-saffier
Switch-zenyte;Schakel-zenyte
Switch-onyx;Schakelaar-onyx
Switch-ruby;Schakelaar-robijn
Fight;Gevecht
Toggle K/D;Schakel tussen K/D
Take-seed;Neem zaad
Take-pickaxe;Neem-houweel
Dyes;Kleurstoffen
Anadir ignorar;Anadir negeert
Withdraw-50000;Intrekken-50000
Informe;Informeer
activar;activar
Anadir amigo;Anadir amigo
Deposit-50000;Borg-50000
Accurate;Nauwkeurig
Longrange;Lange afstand
Prod;Prod
Talk-into;Inpraten
Glider;Zweefvliegtuig
Glider-to Ta Quir Priw;Zweefvliegtuig naar Ta Quir Priw
Travel to<col=ff9040> Barbarian Village;Reis naar<col=ff9040> ​​Barbarendorp
Travel to<col=ff9040> Edgeville;Reis naar<col=ff9040> ​​Edgeville
Downgrade;Downgraden
Buy: 1 x Dragon axe;Koop: 1 x Drakenbijl
Seers' Village;Zienersdorp
Camelot;Camelot
Deposit-120000;Borg-120000
Withdraw-120000;Intrekken-120000
Gehen Sie hier;Gehen Sie hier
Reden mit;Reden mit
Prüfen;Prüfen
Schließen;Schließen
Tutorial;Handleiding
Open in browser;Openen in browser
Pass (private);Pas (privé)
Pass (normal);Pass (normaal)
Load X;Laad X
Spike;Spike
Open-all;Open-alles
Rapid;Snel
Hide-in;Verstoppen
Search for traps;Zoek naar vallen
Default quantity: <col=ff9040>All</col>;Standaard aantal: <col=ff9040>Alles</col>
Default quantity: <col=ff9040>X</col>;Standaard aantal: <col=ff9040>X</col>
Relocate;Verhuizen
Default quantity: <col=ff9040>10</col>;Standaardhoeveelheid: <col=ff9040>10</col>
Redecorate;Opknappen
Varrock;Varrock
Bask;Zonnebaden
Civitas illa Fortis;Civitas illa Fortis
Sunset Coast;Zonsondergangkust
Tal Teklan;Tal Teklan
Hunter Guild;Jagers Gilde
The Teomat;De Teomat
Kastori;Kastori
Last-destination;Laatste bestemming
Cam Torum Entrance;Ingang Cam Torum
Outer Fortis;Buiten Fortis
Feed;Voer
Dondakan;Dondakan
Features;Functies
Crawl-through;Doorkruipen
Coin Collection;Muntenverzameling
Boss Log;Baas Logboek
Miscellania;Diversen
Falador;Falador
Deposit-10000;Borg-10000
Skrach Uglogwee;Skrach Uglogwee
Lumbridge Guide;Lumbridge-gids
Wartface & Bentnoze;Wrattengezicht & Bentnoze
King Awowogei;Koning Awowogei
Evil Dave;Slechte Dave
Mountain Dwarf;Berg dwerg
Pirate Pete;Piraat Piet
Sir Amik Varze;Heer Amik Varze
Buy: 10 x Stamina potion(4);Koop: 10 x Stamina-drankje(4)
Pass-through;Doorgang
+99%;+99%
Cut;Snee
Teleport to <col=ff8040>Nightmare Zone</col>;Teleporteer naar <col=ff8040>Nightmare Zone</col>
Last-destination (DJP);Laatste bestemming (DJP)
Rotate counter-clockwise;Draai tegen de klok in
Flick;Veeg
Join <col=ff8040>Nightmare Zone</col> channel;Word lid van het <col=ff8040>Nightmare Zone</col>-kanaal
Last-destination (AIS);Laatste bestemming (AIS)
Rotate clockwise;Draai met de klok mee
Lash;Wimper
Deflect;Afbuigen
Buy-food;Koop eten
Buy-items;Koop-artikelen
Decline;Afwijzen
Remove All;Alles verwijderen
-99%;-99%
Customise-boat;Maatwerk-boot
Buy-boat;Koop-boot
Recover-boat;Herstel-boot
Runecraft;Runecraft
East Ardougne;Oost-Ardougne
B;B
Lumbridge;Lumbridge
Get Started;Aan de slag
Spellbook;Spreukenboek
Sigils;Sigils
Breach Check;Controle op inbreuk
Shop;Winkel
Unlocks;Ontgrendelt
Prayers;Gebeden
Sell-10;Verkopen-10
Sell-1;Verkoop-1
Sell-5;Verkopen-5
Sell-50;Verkopen-50
Deadman;Dode man
Points Info;Punteninformatie
About;Over
Sigils Info;Sigils-info
Attune;Afstemmen
Remove PvP Protection;Verwijder PvP-bescherming
Deposit-box;Kluisje
Hack;Hacken
Travel to platform;Reis naar perron
Walk-across;Overloop
Select <col=ff9040>Confirm</col>;Selecteer <col=ff9040>Bevestigen</col>
Dream;Droom
Ammo;Munitie
Toggle setting;Schakel instelling
Withdraw-19;Intrekken-19
Default quantity: 19;Standaardhoeveelheid: 19
Manoeuvre-past;Manoeuvre-verleden
Buy: 1 x Yellow dye;Kopen: 1 x Gele kleurstof
View <col=ff9040>Firemaking</col> guide;Bekijk de <col=ff9040>Vuurmaken</col> handleiding
Weave;Weven
Take-boat;Neem-boot
Ardougne;Ardougné
Withdraw-100;Intrekken-100
Deposit-100;Borg-100
Remove-coal;Verwijder-kolen
Tuxedo-time;Smoking-tijd
Turn;Draai
Throw;Gooien
Pummel;Pummel
Add to playlist 1;Toevoegen aan afspeellijst 1
Add to playlist 2;Toevoegen aan afspeellijst 2
Add to playlist 3;Toevoegen aan afspeellijst 3
Sober-Up;Nuchter
Give-Sword;Geef-zwaard
Ring-bell;Ringbel
Right;Rechts
Left;Links
Shuffle Mode;Shuffle-modus
Take-X;Neem-X
Venerate;Vereren
Take-beer;Neem bier
Buy-pass;Kooppas
Go-through;Doorgang
Hide-behind;Verstop je
Climb-on;Klim erop
Knock-Out;Knock-out
Set to 7;Stel in op 7
Set to 6;Stel in op 6
Set to 8;Stel in op 8
Set to 3;Stel in op 3
Set to 2;Stel in op 2
Set to 5;Stel in op 5
Set to 4;Stel in op 4
Set to 1;Stel in op 1
Jump-to;Ga naar
G;G
E;E
D;D
C;C
A;A
Play your tune.;Speel je deuntje.
F#;F#
C#;C#
Default quantity: 100;Standaardhoeveelheid: 100
Deposit-1000;Borg-1000
Withdraw-1000;Intrekken-1000
Sell: 17 x Big bones;Verkoop: 17 x Grote botten
Previous;Vorig
45 days membership;45 dagen lidmaatschap
Buy Bonds;Koop obligaties
Early Name Change;Vroege naamsverandering
14 days membership;14 dagen lidmaatschap
29 days membership;29 dagen lidmaatschap
12 months;12 maanden
View Your Bonds;Bekijk uw obligaties
Add finds;Voeg vondsten toe
View journal <col=ff981f>Demon Slayer</col>;Bekijk dagboek <col=ff981f>Demon Slayer</col>
Murder;Moord
Walk-on;Doorloopbaar
Chill;Chill
Fix;Repareren
Take-5;Neem-5
Take-10;Neem-10
Bail-with;Borgtocht met
Comercio con;Commercieel con
conjuntos;conjunto's
Eliminar;Eliminatie
Usar;Gebruiker
Gota;Goh
Banco;Banco
Intercambio;Intercambio
Seguir;Seguir
Historia;Geschiedenis
Recolectar;Recolectar
Offer-X<col=ff9040>;Aanbieding-X<col=ff9040>
Offer<col=ff9040>;Aanbieding<col=ff9040>
Offer-All<col=ff9040>;Aanbieding-alles<col=ff9040>
Deposit-107;Borg-107
Offer-10<col=ff9040>;Aanbieding-10<col=ff9040>
Withdraw-107;Intrekken-107
Offer-5<col=ff9040>;Aanbieding-5<col=ff9040>
Assignment;Opdracht
Last-destination (DKS);Laatste bestemming (DKS)
Add Favourite;Favoriet toevoegen
Use code;Gebruik code
Destroy ALL;Vernietig ALLES
Comer;Komer
Deposit-5000;Borg-5000
Llevar;Llevar
Precios;Precisies
Withdraw-5000;Intrekken-5000
Cocinando;Cocinando
BotÃ­n;Botín
Kandarin Monastery;Kandarin-klooster
Default quantity: 107;Standaard aantal: 107
Empunar;Empunar
Deposito;Storting
+50%;+50%
Default quantity: 5,000;Standaardhoeveelheid: 5.000
Tener puesto;Tener puesto
-50%;-50%
Vista;Uitzicht
Construir;Construir
Subir;Subir
Ingresar;Ingresar
Bajar;Bajar
Lanzar;Lanzar
Mina;Mijn
Water Bolt;Waterbout
Use <col=00ff00>Special Attack</col>;Gebruik <col=00ff00>Speciale aanval</col>
Select option C;Selecteer optie C
Escape;Ontsnappen
Exchange fire cape;Vuurcape ruilen
Last-destination (CKS);Laatste bestemming (CKS)
-2%;-2%
Watch;Horloge
Bend;Kromming
Last-destination (AIQ);Laatste bestemming (AIQ)
Tease;Plagen
Fish;Vis
Trap;Val
Leap;Sprong
Mark;Markering
Unmark;Markering opheffen
Open GE Tracker to;Open GE Tracker voor
Buy: 1 x Iron scimitar;Koop: 1 x ijzeren kromzwaard
Buy: 1 x Iron platebody;Koop: 1 x ijzeren plaatlichaam
Sell: 1 x Iron dagger;Verkoop: 1 x IJzeren dolk
Wind Strike;Windaanval
Fire Wave;Vuurgolf
Wind Bolt;Windbout
Wind Blast;Windstoot
Earth Surge;Aardegolf
Cerrar sesion;Cerrar-sessie
Last-destination (BLP);Laatste bestemming (BLP)
Break-down;Afbraak
Tag;Label
Trade-in;Inruil
Kitten;Katje
Scroll map;Blader door de kaart
+2%;+2%
Water Wave;Watergolf
Last-destination (DJR);Laatste bestemming (DJR)
Illegal / harmful content;Illegale/schadelijke inhoud
Last-destination (AKR);Laatste bestemming (AKR)
Hammer;Hamer
Deposit-600;Borg-600
Withdraw-600;Intrekken-600
Withdraw-200000;Intrekken-200000
Prospect;Verwachting
Wind-up;Opwinden
Look-under;Kijk onder
Jump-on;Spring erop
Climb-across;Klim over
Swing-on;Swing-aan
Swing-across;Zwaai over
Pay-fare;Betaaltarief
Withdraw-3000;Intrekken-3000
Deposit-3000;Borg-3000
Cut down;Snijd af
Cut-wood;Gezaagd hout
Eperlano;Eperlano
Last-destination (CKR);Laatste bestemming (CKR)
Teeth-grip;Tanden-grip
Last-destination (DKR);Laatste bestemming (DKR)
Pick-apple;Pick-appel
Remove-1;Verwijderen-1
Cage;Kooi
Banknotes;Bankbiljetten
Default quantity: 600;Standaardhoeveelheid: 600
Water Strike;Wateraanval
Fire Surge;Brandgolf
Wind Surge;Windstoot
Wind Wave;Windgolf
Water Surge;Watergolf
Lieutenant;Luitenant
General;Algemeen
Sergeant+;Sergeant+
Group Storage;Groepsopslag
Corporal;Korporaal
Anyone;Iedereen
Lieutenant+;Luitenant+
Recruit;Werven
Corporal+;Korporaal+
Captain;Kapitein
Options;Opties
Captain+;Kapitein+
Hiscores;Hiscores
Set prefix;Voorvoegsel instellen
General+;Algemeen+
Any friends;Enige vrienden
Recruit+;Rekruteer+
Sergeant;Sergeant
Not ranked;Niet gerangschikt
Only me;Alleen ik
Discard;Weggooien
Expel Guests;Gasten wegsturen
On;Op
Viewer;Kijker
Call Servant;Bel dienaar
Check materials;Controleer materialen
X;X
Show voucher items;Toon voucherartikelen
Events;Evenementen
Chat;Chatten
Hall;Hal
Apply;Toepassen
Edit;Bewerking
Members;Leden
Permissions;Machtigingen
Withdraw-15;Intrekken-15
Deposit-15;Borg-15
Dive;Duiken
Devices;Apparaten
Charge;Aanval
Make-raft;Make-vlot
Check-gates;Controlepoorten
Gauntlets;Handschoenen
Pop;Knal
Quetzacalli Gorge;Quetzacalli-kloof
Salvager Overlook;Berger over het hoofd
Auburnvale;Kastanjebruin
Quick-exit;Snelle uitgang
Turn Dial;Draai de wijzerplaat
Heal;Genezen
Up;Omhoog
Down;Omlaag
Take-many;Neem-veel
Withdraw-28;Intrekken-28
Withdraw-65;Intrekken-65
Change-style;Verander-stijl
Hasty-rummage;Haastig snuffelen
Colossal Wyrm Remains;De kolossale Wyrm-overblijfselen
Choose;Kiezen
Slide-along;Schuif mee
Deposit-40;Borg-40
Withdraw-50;Intrekken-50
Withdraw-40;Intrekken-40
Withdraw-2000;Intrekken-2000
Dive in;Duik erin
Swim to;Zwem naar
Use-rod;Gebruik-staaf
Swim;Zwemmen
Construct;Construct
Deposit-2000;Borg-2000
Get in;Stap in
Take treasure;Neem een ​​schat
Get-rewards;Ontvang-beloningen
Plant;Plant
Last-destination (DLQ);Laatste bestemming (DLQ)
Last-destination (AJP);Laatste bestemming (AJP)
Default quantity: 40;Standaardhoeveelheid: 40
Load;Laden
Demolish;Slopen
Quick-escape;Snel ontsnappen
Buy-plank;Koopplank
Leave House;Verlaat Huis
Bedroom;Slaapkamer
Kitchen;Keuken
Deploy;Aanwenden
Deposit-all;Storting-alles
Un-set;Niet ingesteld
Portal Nexus;Portaal Nexus
Sailing Options;Zeilopties
Treasure room;Schatkamer
Dungeon - Stairs;Kerker - Trap
Disembark;Van boord gaan
Navigate;Navigeren
Hall - Skill trophies;Hall - Vaardigheidstrofeeën
Set heading;Kop instellen
Un-set sails;Uitgezette zeilen
Workshop;Werkplaats
Facilities;Faciliteiten
Musa Point;Musa Punt
Garden;Tuin
Achievement gallery;Prestatiegalerij
Set;Set
Raise speed;Verhoog de snelheid
Lower speed;Lagere snelheid
Parlour;Salon
League Hall;Liga zaal
The Pandemonium;Het pandemonium
Repair-boat;Reparatie-boot
Modify;Bewerken
Set sails;Zeilen zetten
Default quantity: 2,000;Standaardhoeveelheid: 2.000
Build-trap;Bouwval
Stop-navigating;Stop met navigeren
Pry-open;Wrik open
Bottom-Floor;Onderste verdieping
View-tasks;Bekijk-taken
Manage-crew;Beheer-crew
View-charts;Bekijk-grafieken
Shoot;Schieten
Recover;Herstellen
Crewmates;Bemanningsleden
Board friend's boat;Ga aan boord van de boot van een vriend
Accept task;Accepteer taak
Deposit-held;In deposito gehouden
Deposit-cargo;Statiegeld
Withdraw-7;Intrekken-7
Deposit-7;Storting-7
Select option B;Selecteer optie B
Default quantity: 7;Standaardhoeveelheid: 7
Withdraw-2;Intrekken-2
Deposit-2;Storting-2
Last-destination (DKP);Laatste bestemming (DKP)
Reinforce;Versterken
Burst;Uitbarsting
Reach;Bereik
Free;Vrij
Admire;Bewonderen
Scry;Scry
Last-destination (AJR);Laatste bestemming (AJR)
Enakhra's Temple;Enakhra's tempel
Check-charge;Cheque-kosten
Enakhra's Temple Entrance;Enakhra's tempelingang
Last-tier contract;Contract op het laatste niveau
Fire-at;Vuur-op
Deposit-35000;Borg-35000
Withdraw-35000;Intrekken-35000
Default quantity: 35,000;Standaardhoeveelheid: 35.000
Deposit-3;Storting-3
Withdraw-3;Intrekken-3
Collect-data;Verzamel-gegevens
Bloom;Bloeien
Listen;Luisteren
Hold;Uitstel
Pick-fruit;Plukfruit
Last-destination (CLR);Laatste bestemming (CLR)
Flush;Spoelen
Last-destination (AKQ);Laatste bestemming (AKQ)
Set-trap;Set-trap
Deposit-30;Borg-30
Withdraw-30;Intrekken-30
Default quantity: 30;Standaardhoeveelheid: 30
Check totals;Controleer de totalen
Reverse;Achteruit
Stop boat;Boot stoppen
Chase;Achtervolging
Interact;Interactie
Spectate;Toeschouwen
Go-down;Ga naar beneden
Smell;Geur
Channel;Kanaal
Toggle-absorption;Toggle-absorptie
Port Khazard;Haven Khazard
Corsair Cove;Corsair-baai
Charter-to Port Sarim;Charter-naar Port Sarim
Catherby;Catherby
Charter-to Brimhaven;Charter-naar Brimhaven
Last-destination (AKS);Laatste bestemming (AKS)
Last-destination (CIS);Laatste bestemming (CIS)
View journal <col=ff981f>Shilo Village</col>;Bekijk dagboek <col=ff981f>Shilo Village</col>
View journal <col=ff981f>Priest in Peril</col>;Bekijk dagboek <col=ff981f>Priester in gevaar</col>
Withdraw-20000;Intrekken-20000
Get bird;Neem een ​​vogel
Quick-Travel;Snel reizen
Embark;Aan boord gaan
Take tools;Neem gereedschap
Climb Up;Klim omhoog
Build on;Bouw voort
Make <col=ff9040>Ruby ring</col>;Maak <col=ff9040>Robijnring</col>
Withdraw-13;Intrekken-13
Make <col=ff9040>Ruby necklace</col>;Maak <col=ff9040>Robijnhalsketting</col>
Deposit-13;Storting-13
Make <col=ff9040>Ruby amulet (u)</col>;Maak <col=ff9040>Robijn amulet (u)</col>
Charter-to Catherby;Charter-naar Catherby
Blow;Blazen
Boost;Boost
Karamja (Shilo);Karamja (Shilo)
Fremennik;Fremennik
Jars;Potten
Twiggy O'Korn;Twiggy O'Korn
Desert;Woestijn
Configure-Charges;Configureer-kosten
Lumbridge & Draynor;Lumbridge & Draynor
Ring-configure;Ring-configuratie
Karamja (Jungle);Karamja (jungle)
Ring-Zanaris;Ring-Zanaris
Kourend & Kebos;Kourend & Kebos
Morytania;Morytanië
Ring-last-destination (DJR);Ring-laatste bestemming (DJR)
Tree;Boom
Western Provinces;Westelijke provincies
Wilderness;Wildernis
Karamja (Mor Ul Rek);Karamja (Mor Ul Rek)
Kandarin;Kandarijn
Crafting Guild;Ambachtsgilde
Lunar;Maan
Falador Park;Falador-park
Farming Guild;Landbouw Gilde
Cooking Guild;Kookgilde
Fishing Guild;Visserij Gilde
Mining Guild;Mijnbouw Gilde
Ring-last-destination (DIS);Bel laatste bestemming (DIS)
Arceuus;Arceus
Woodcutting Guild;Houthakkersgilde
Ancient;Oud
Clip;Klem
Shuffle items up;Schud items in een willekeurige volgorde
Save and Close;Opslaan en sluiten
Back to bank;Terug naar de bank
Craft-rune;Craft-rune
Save;Redden
Storage Unlocks;Opslag ontgrendelt
Climb-through (private);Doorklimmen (privé)
Peek (normal);Kijkje (normaal)
Climb-through (normal);Doorloop (normaal)
Deposit-20000;Borg-20000
Banish;Verbannen
Check runes;Controleer runen
Blow-on;Opblazen
Ring;Ring
Deposit-1500;Borg-1500
Withdraw-1500;Intrekken-1500
Disable warning;Waarschuwing uitschakelen
Leave platform;Verlaat het perron
Withdraw-200;Intrekken-200
Deposit-200;Borg-200
Fend;Afweren
Jab;Jab
Default quantity: 200;Standaardhoeveelheid: 200
Swipe;Veeg
Pay (north-west);Betaal (noordwest)
Pay (south-east);Betaal (zuidoost)
Default quantity: 1,500;Standaardhoeveelheid: 1.500
Change icon (fazenda);Pictogram wijzigen (fazenda)
Disable layout;Schakel lay-out uit
Duplicate-item;Dubbel item
Remove-layout;Verwijder-lay-out
Harvest;Oogst
Cure;Genezing
Default quantity: 13;Standaardhoeveelheid: 13
Make <col=ff9040>Dragonstone ring</col>;Maak <col=ff9040>Drakensteenring</col>
Convert;Overzetten
Buy or Redeem Bonds;Obligaties kopen of inwisselen
Move to Pouch;Verplaats naar zak
Move to Inventory;Ga naar Voorraad
Store-1;Winkel-1
Yes, leave the clan.;Ja, verlaat de clan.
Leave Clan;Verlaat de clan
Bans;Verboden
Combat Achievements;Gevechtsprestaties
Titles;Titels
Remove friend;Vriend verwijderen
Applicants;Aanvragers
Invigorate;Stimuleer
Last Destination;Laatste bestemming
Air Altar;Luchtaltaar
Earth Altar;Aarde Altaar
View Runecraft on the Wiki;Bekijk Runecraft op de Wiki
Fire Altar;Vuur Altaar
View <col=ff9040>Magic</col> guide;Bekijk de <col=ff9040>Magische</col>-gids
Water Altar;Wateraltaar
Reset Horizontal;Horizontaal opnieuw instellen
Resize Horizontal;Formaat horizontaal wijzigen
Eagles' Eyrie;Adelaars-Eyrie
The Outpost;De Buitenpost
Wizards' Tower;Tovenaarstoren
Tackle;Aanpakken
Form clan;Vorm een ​​clan
Invite;Uitnodiging
Withdraw-683;Intrekken-683
Deposit-683;Borg-683
Ban;Verbod
Guzzle;Slik
Default quantity: 1,000;Standaardhoeveelheid: 1.000
<col=ffff00>Set chat mode:</col> Group (/@g);<col=ffff00>Chatmodus instellen:</col> Groep (@g)
Directions;Routebeschrijving
Withdraw-500000;Intrekken-500000
Deposit-500000;Storting-500000
Unpack;Uitpakken
8;8 
7;7 
6;6 
12 months membership;12 maanden lidmaatschap
Temple;Tempel
Default quantity: 50;Standaardhoeveelheid: 50
Request;Verzoek
Withdraw All;Alles intrekken
Pay (south);Betaal (zuid)
Pay (north);Betaal (noord)
View <col=ff9040>Cooking</col> guide;Bekijk de <col=ff9040>Kookgids</col>
